subscriber_id,subscriber_name,city,zone,plan_type,plan_name,monthly_charge,activation_date,status
SUB_00001,Fatima Al Mansouri,Abu Dhabi,Zone 5,Postpaid,Premium,236.73,2025-03-19,Active
SUB_00002,Fatima Al Kindi,Dubai,Zone 2,Prepaid,Basic,79.52,2025-07-07,Suspended
SUB_00003,Ahmed Al Mansouri,Abu Dhabi,Zone 4,Postpaid,Basic,61.63,2023-12-01,Churned
SUB_00004,Ahmed Al Kindi,Sharjah,Zone 4,Prepaid,Basic,85.8,2024-01-28,Active
SUB_00005,Omar Al Maktoum,Dubai,Zone 8,Prepaid,Standard,158.93,2025-08-02,Active
SUB_00006,Mohammed Al Falasi,Abu Dhabi,Zone 6,Prepaid,Basic,63.89,2024-12-31,Active
SUB_00007,Hana Al Mansouri,Abu Dhabi,Zone 2,Postpaid,Basic,69.0,2024-08-06,Active
SUB_00008,Hana Al Kindi,Abu Dhabi,Zone 5,Prepaid,Standard,180.71,2024-04-25,Active
SUB_00009,Hassan Al Mansouri,Dubai,Zone 7,Postpaid,Unlimited,361.82,2024-10-12,Active
SUB_00010,Noor Al Qassimi,Dubai,Zone 4,Prepaid,Premium,305.69,2025-06-23,Active
SUB_00011,Aisha Al Qassimi,Dubai,Zone 2,Prepaid,Basic,92.77,2025-04-27,Suspended
SUB_00012,Omar Al Qassimi,Dubai,Zone 8,Postpaid,Standard,163.57,2024-07-31,Active
SUB_00013,Mohammed Al Qassimi,Abu Dhabi,Zone 6,Prepaid,Unlimited,381.43,2024-11-08,Active
SUB_00014,Fatima Al Kindi,Ajman,Zone 3,Postpaid,Standard,153.41,2024-12-01,Suspended
SUB_00015,Mohammed Al Falasi,Dubai,Zone 7,Prepaid,Basic,63.5,2023-10-23,Active
SUB_00016,Hassan Al Maktoum,Abu Dhabi,Zone 6,Prepaid,Premium,326.43,2025-06-12,Active
SUB_00017,Aisha Al Mansouri,Dubai,Zone 6,Prepaid,Basic,70.06,2025-06-02,Active
SUB_00018,Aisha Al Kindi,Dubai,Zone 6,Postpaid,Premium,231.89,2024-03-15,Active
SUB_00019,Omar Al Falasi,Dubai,Zone 3,Postpaid,Premium,239.73,2024-11-29,Active
SUB_00020,Hassan Al Kindi,Sharjah,Zone 5,Prepaid,Standard,174.7,2024-05-27,Active
SUB_00021,Noor Al Falasi,Ajman,Zone 6,Postpaid,Standard,121.93,2025-03-20,Active
SUB_00022,Hassan Al Falasi,Dubai,Zone 2,Prepaid,Premium,313.37,2025-04-18,Active
SUB_00023,Mohammed Al Maktoum,Ajman,Zone 7,Prepaid,Basic,79.82,2024-07-10,Active
SUB_00024,Omar Al Kindi,Sharjah,Zone 8,Prepaid,Premium,279.37,2024-01-20,Active
SUB_00025,Ahmed Al Mansouri,Abu Dhabi,Zone 5,Prepaid,Basic,88.43,2024-08-25,Active
SUB_00026,Fatima Al Qassimi,Dubai,Zone 7,Postpaid,Standard,115.82,2025-08-05,Active
SUB_00027,Ali Al Kindi,Ajman,Zone 3,Prepaid,Standard,150.77,2025-04-22,Active
SUB_00028,Ali Al Kindi,Dubai,Zone 4,Prepaid,Basic,57.64,2025-02-24,Active
SUB_00029,Hassan Al Kindi,Ajman,Zone 1,Postpaid,Standard,159.89,2024-03-26,Suspended
SUB_00030,Ahmed Al Mansouri,Sharjah,Zone 6,Prepaid,Premium,331.81,2024-09-28,Active
SUB_00031,Aisha Al Mansouri,Sharjah,Zone 4,Postpaid,Standard,187.8,2025-05-20,Active
SUB_00032,Fatima Al Falasi,Dubai,Zone 2,Prepaid,Premium,346.7,2024-02-10,Suspended
SUB_00033,Mohammed Al Maktoum,Dubai,Zone 8,Prepaid,Standard,194.68,2025-02-20,Active
SUB_00034,Ali Al Kindi,Dubai,Zone 7,Prepaid,Unlimited,494.65,2024-02-03,Active
SUB_00035,Aisha Al Qassimi,Abu Dhabi,Zone 7,Postpaid,Standard,199.51,2023-10-13,Churned
SUB_00036,Hana Al Falasi,Fujairah,Zone 8,Prepaid,Standard,112.1,2024-12-21,Active
SUB_00037,Fatima Al Qassimi,Dubai,Zone 1,Prepaid,Standard,158.83,2024-12-16,Active
SUB_00038,Noor Al Maktoum,Dubai,Zone 1,Prepaid,Unlimited,360.65,2023-11-01,Active
SUB_00039,Ahmed Al Maktoum,Dubai,Zone 2,Prepaid,Unlimited,485.81,2024-09-04,Active
SUB_00040,Fatima Al Kindi,Sharjah,Zone 4,Postpaid,Basic,63.92,2024-03-29,Active
SUB_00041,Aisha Al Kindi,Abu Dhabi,Zone 3,Postpaid,Standard,172.34,2024-01-02,Active
SUB_00042,Noor Al Falasi,Dubai,Zone 4,Postpaid,Standard,178.46,2024-06-18,Active
SUB_00043,Aisha Al Mansouri,Dubai,Zone 2,Prepaid,Premium,298.85,2024-08-11,Active
SUB_00044,Omar Al Falasi,Abu Dhabi,Zone 8,Prepaid,Standard,186.38,2025-06-14,Active
SUB_00045,Fatima Al Mansouri,Sharjah,Zone 7,Prepaid,Unlimited,459.23,2025-04-19,Active
